Code,Name,Market,Symbol,NewsKeyword,XSearchURL,ListingDate,KabuMini
4478,freee,東証グロース,TYO:4478,freee 会計ソフト,https://x.com/search?q=%244478&f=live,2019-12-17,○
4194,ビジョナル,東証グロース,TYO:4194,ビジョナル ビズリーチ,https://x.com/search?q=%244194&f=live,2021-04-22,○
4385,メルカリ,東証グロース,TYO:4385,メルカリ,https://x.com/search?q=%244385&f=live,2018-06-19,○
7342,ウェルスナビ,東証グロース,TYO:7342,ウェルスナビ,https://x.com/search?q=%247342&f=live,2020-12-22,○
9166,GENDA,東証グロース,TYO:9166,GENDA アミューズメント,https://x.com/search?q=%249166&f=live,2023-07-28,○
5253,カバー,東証グロース,TYO:5253,カバー ホロライブ,https://x.com/search?q=%245253&f=live,2023-03-27,○
6027,弁護士ドットコム,東証グロース,TYO:6027,弁護士ドットコム クラウドサイン,https://x.com/search?q=%246027&f=live,2014-12-12,○
4180,Appier Group,東証グロース,TYO:4180,Appier エーアイ,https://x.com/search?q=%244180&f=live,2021-03-30,
4475,HENNGE,東証グロース,TYO:4475,HENNGE,https://x.com/search?q=%244475&f=live,2019-10-04,
4490,ビザスク,東証グロース,TYO:4490,ビザスク,https://x.com/search?q=%244490&f=live,2020-03-26,
4485,JTOWER,東証グロース,TYO:4485,JTOWER 通信インフラ,https://x.com/search?q=%244485&f=live,2019-12-18,
5032,ANYCOLOR,東証グロース,TYO:5032,ANYCOLOR にじさんじ,https://x.com/search?q=%245032&f=live,2022-06-08,○
5588,ファーストアカウンティング,東証グロース,TYO:5588,ファーストアカウンティング AI経理,https://x.com/search?q=%245588&f=live,,
5246,ELEMENTS,東証グロース,TYO:5246,ELEMENTS 生体認証,https://x.com/search?q=%245246&f=live,,
4051,GMOフィナンシャルゲート,東証グロース,TYO:4051,GMOフィナンシャルゲート 決済,https://x.com/search?q=%244051&f=live,2020-07-29,
7370,Enjin,東証グロース,TYO:7370,Enjin PR,https://x.com/search?q=%247370&f=live,,
9211,エフ・コード,東証グロース,TYO:9211,エフコード マーケティング,https://x.com/search?q=%249211&f=live,,
5126,ポーターズ,東証グロース,TYO:5126,ポーターズ HRtech,https://x.com/search?q=%245126&f=live,,
